time (sec),ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),ref_gyro_x (rad/s),ref_gyro_y (rad/s),ref_gyro_z (rad/s),gyro_x (rad/s),gyro_y (rad/s),gyro_z (rad/s),mag_x (uT),mag_y (uT),mag_z (uT),ref_pos_x (m),ref_pos_y (m),ref_pos_z (m),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s),ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg),q0 (),q1,q2,q3
0.0,0.0,0.0,-9.7803253359,0.010364225120174472,0.01037448366234665,-9.770276249736261,0.0,0.0,0.0,0.00017934884686621075,0.00014004326387091276,0.00038452735354582143,-1.3849152043751866e-06,1.6960319721285748e-22,1.344540903691502e-07,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,0.0,0.0,-9.7803253359,0.010010464488781127,0.0098271476284648,-9.770806064817219,0.0,0.0,0.0,-0.00016041877905831578,0.00018584249866784294,8.461553829287017e-05,-1.413419912029615e-06,1.7309401711182015e-22,1.509760093878691e-07,0.0,0.001,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.02,0.0,0.0,-9.7803253359,0.010238426283288207,0.009679908413854191,-9.769836364543053,0.0,0.0,0.0,0.00014348755409426041,-0.00011913963262291678,-0.00033063208567398866,-1.4424599708091572e-06,1.766503986149619e-22,1.6826958763664192e-07,0.0,0.002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.03,0.0,0.0,-9.7803253359,0.009771107034251757,0.010495273180044416,-9.770740492421496,0.0,0.0,0.0,4.63798569325701e-05,-5.0207713435112185e-05,-0.00010038895599534865,-1.472037879767787e-06,1.8027264776812768e-22,1.863652329590325e-07,0.0,0.003,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.04,0.0,0.0,-9.7803253359,0.009872849661990672,0.009933085299706493,-9.771102405085724,0.0,0.0,0.0,-2.0977653181495453e-05,0.0001307457613711792,5.017322969182366e-05,-1.5021554760534269e-06,1.8396098955704979e-22,2.0529432411157732e-07,0.0,0.004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.05,0.0,0.0,-9.7803253359,0.010055645802964308,0.009971935504916596,-9.770473819777726,0.0,0.0,0.0,-7.381372388165924e-05,0.00012778547114385952,-0.00012061093220110037,-1.5328138757271558e-06,1.87715560659791e-22,2.250892221693512e-07,0.0,0.005,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.06,0.0,0.0,-9.7803253359,0.009843843929554409,0.009402212232533198,-9.770552618139106,0.0,0.0,0.0,-2.203439974681433e-05,-0.00016205282556571102,-5.826217783600773e-07,-1.5640134111736682e-06,1.915364017817366e-22,2.4578327996570105e-07,0.0,0.006,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.07,0.0,0.0,-9.7803253359,0.010223148187040228,0.009985071705928323,-9.770776643595132,0.0,0.0,0.0,0.00012132857121558437,7.183685337810892e-05,-0.00020525756292732647,-1.5957535649930196e-06,1.9542344955966793e-22,2.6741084930567407e-07,0.0,0.007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.08,0.0,0.0,-9.7803253359,0.009830378456894969,0.00930446436681691,-9.770738695900464,0.0,0.0,0.0,-9.535778019652848e-05,-0.00020267933212678277,-0.00029602505715492803,-1.628032900268375e-06,1.9937652802202476e-22,2.900072856761517e-07,0.0,0.008,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.08999999999999998,0.0,0.0,-9.7803253359,0.009828925740920676,0.010068318274760875,-9.770172268308482,0.0,0.0,0.0,0.0002003041955423792,-0.00012261467042877947,0.00021552939948972087,-1.6608489871099713e-06,2.0339533959313498e-22,3.136089501486256e-07,0.0,0.009000000000000001,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,0.0,0.0,-9.7803253359,0.009769971175692189,0.009941651831695297,-9.770282733352541,0.0,0.0,0.0,-3.234148962146607e-05,0.00035265317201274045,0.00017348882044867497,-1.6941983253918728e-06,2.074794556311963e-22,3.382532081648034e-07,0.0,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.11,0.0,0.0,-9.7803253359,0.010204627387821068,0.009743901955177112,-9.769671340366727,0.0,0.0,0.0,3.949461008913064e-05,-0.000201939052071139,-3.6746662945334917e-05,-1.7280762635975148e-06,2.1162830648972142e-22,3.639784248535501e-07,0.0,0.011000000000000003,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.12,0.0,0.0,-9.7803253359,0.010412683614844464,0.010026171304509796,-9.770619885609156,0.0,0.0,0.0,-5.877367945548921e-05,0.00028719649630541054,0.00014637072568762845,-1.762476913711681e-06,2.158411710948116e-22,3.908239565140965e-07,0.0,0.012000000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.13,0.0,0.0,-9.7803253359,0.00998718228976286,0.010144653957283213,-9.770211010502017,0.0,0.0,0.0,-0.00018485349618470437,0.00013677275636448492,5.531864085941105e-06,-1.7973930621064083e-06,2.2011716603182726e-22,4.188301378753586e-07,0.0,0.013000000000000005,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.14,0.0,0.0,-9.7803253359,0.009642489477892046,0.010013013976152958,-9.770107967993518,0.0,0.0,0.0,-0.0001005568918866378,5.7590947496726635e-05,-1.7193095396384314e-05,-1.8328160763861879e-06,2.2445523413721555e-22,4.480382647165177e-07,0.0,0.014000000000000004,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.15,0.0,0.0,-9.7803253359,0.009755598772648144,0.01001310847465556,-9.770215003503347,0.0,0.0,0.0,0.00019655269586360042,5.37326409796604e-06,6.905564422892281e-05,-1.8687358081853536e-06,2.288541325946235e-22,4.784905714139624e-07,0.0,0.015000000000000006,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.16,0.0,0.0,-9.7803253359,0.009388348660945504,0.010274932460588509,-9.770625303484438,0.0,0.0,0.0,-3.1452638064686675e-05,-3.988649598230355e-05,8.895825895338114e-05,-1.9051404919115561e-06,2.333124205345501e-22,5.102302029354901e-07,0.0,0.016000000000000007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.17,0.0,0.0,-9.7803253359,0.009995816494453212,0.010130646543076875,-9.770334943292386,0.0,0.0,0.0,0.00033111241991141553,4.517488926079944e-05,7.289441164961374e-05,-1.9420166394881596e-06,2.378284461440074e-22,5.433011808052971e-07,0.0,0.017000000000000008,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.18,0.0,0.0,-9.7803253359,0.009807802930154784,0.01072306011174294,-9.769945837657588,0.0,0.0,0.0,2.2950858073506433e-05,7.718571674689408e-05,-0.00013527335347305065,-1.979348931141904e-06,2.4240033329186672e-22,5.777483625187604e-07,0.0,0.01800000000000001,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.19,0.0,0.0,-9.7803253359,0.00984077439383001,0.009961710194436403,-9.77017224517108,0.0,0.0,0.0,-0.00025775675288668316,6.553240314419165e-05,-0.00010292895998622645,-2.0171201023420683e-06,2.4702596768289953e-22,6.136173938610938e-07,0.0,0.019000000000000006,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.2,0.0,0.0,-9.7803253359,0.010583255824559053,0.009853838381201727,-9.769857580117293,0.0,0.0,0.0,0.00021755389451545034,6.792269733387659e-05,-0.00017991047582911353,-2.0553108270259214e-06,2.517029825570194e-22,6.509546535786477e-07,0.0,0.020000000000000007,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
