accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.036422512017447228e-02,1.037448366234665006e-02,-9.770276249736260965e+00
1.001046448878112685e-02,9.827147628464800652e-03,-9.770806064817220360e+00
1.023842628328820725e-02,9.679908413854191457e-03,-9.769836364543051488e+00
9.771107034251757043e-03,1.049527318004441628e-02,-9.770740492421495560e+00
9.872849661990673598e-03,9.933085299706491747e-03,-9.771102405085725806e+00
1.005564580296430810e-02,9.971935504916595860e-03,-9.770473819777723890e+00
9.843843929554407096e-03,9.402212232533195893e-03,-9.770552618139106471e+00
1.022314818704022840e-02,9.985071705928324354e-03,-9.770776643595132427e+00
9.830378456894968767e-03,9.304464366816910317e-03,-9.770738695900465842e+00
9.828925740920677750e-03,1.006831827476087522e-02,-9.770172268308479957e+00
9.769971175692188786e-03,9.941651831695296967e-03,-9.770282733352539495e+00
1.020462738782106950e-02,9.743901955177112009e-03,-9.769671340366729240e+00
1.041268361484446597e-02,1.002617130450979624e-02,-9.770619885609157507e+00
9.987182289762860238e-03,1.014465395728321277e-02,-9.770211010502016791e+00
9.642489477892045996e-03,1.001301397615295824e-02,-9.770107967993515885e+00
9.755598772648144124e-03,1.001310847465555938e-02,-9.770215003503347262e+00
9.388348660945504409e-03,1.027493246058850708e-02,-9.770625303484438362e+00
9.995816494453212131e-03,1.013064654307687697e-02,-9.770334943292388274e+00
9.807802930154785673e-03,1.072306011174293909e-02,-9.769945837657589394e+00
9.840774393830010319e-03,9.961710194436403099e-03,-9.770172245171080405e+00
1.058325582455905273e-02,9.853838381201726615e-03,-9.769857580117291107e+00
1.026564034433782684e-02,9.761638574610967747e-03,-9.770325784451983964e+00
9.440145983719486558e-03,1.008032634901404913e-02,-9.770261243106670435e+00
1.076441233875918141e-02,9.857282730972530965e-03,-9.770940011736838571e+00
9.121671605059075358e-03,9.883889673355543068e-03,-9.770485310127265066e+00
1.039528744476543240e-02,9.692224457302577034e-03,-9.770923242646679441e+00
1.004614925792041841e-02,1.055659755949087814e-02,-9.770193788983833727e+00
1.019079742423610081e-02,9.693158194081343340e-03,-9.770117195285219935e+00
1.066076134260675323e-02,1.021123303227736492e-02,-9.770187838988775297e+00
9.634917154325857436e-03,9.716673289840721192e-03,-9.770168273595777109e+00
9.008237987273969710e-03,9.972536883041688976e-03,-9.769757367005265536e+00
1.005500020737665201e-02,1.022747636433197008e-02,-9.770543863657490391e+00
9.451010600124140626e-03,9.338709119632191899e-03,-9.770029267900930847e+00
1.034921282108153262e-02,1.020576669813029989e-02,-9.770514263306072422e+00
9.841551999470827747e-03,9.523263534779155548e-03,-9.770824786069731260e+00
9.993122312072390614e-03,1.023544361966390211e-02,-9.770249381122072307e+00
9.881677784881455137e-03,9.926755649562125222e-03,-9.771175823619930867e+00
9.712555053493153803e-03,9.869867712446850697e-03,-9.770074727479444832e+00
9.653529284576729472e-03,9.762576775603382107e-03,-9.770324305213788918e+00
9.738131069297805906e-03,9.950538883211134528e-03,-9.770201536442186807e+00
9.721737369702112067e-03,9.680342817256876523e-03,-9.770420761143595811e+00
9.949501511407972745e-03,1.002903705523858213e-02,-9.770475189477084044e+00
1.007667805471920176e-02,1.014483303594715911e-02,-9.770303850641244736e+00
1.012340516322259368e-02,9.636345424417748495e-03,-9.770218424462441931e+00
1.008029239681807430e-02,1.065222517082550779e-02,-9.769898139500028833e+00
9.736714097242820179e-03,1.036696796912145446e-02,-9.769942720697070371e+00
9.984896137105398264e-03,1.001958705513943983e-02,-9.770539022893974135e+00
9.579642005271043342e-03,9.831465248104827651e-03,-9.769918269072938699e+00
9.513844378519776754e-03,9.917320312858732279e-03,-9.770699592758161245e+00
1.013077866413359882e-02,1.008654704261965560e-02,-9.770168660800532479e+00
