gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.027593198597197624e-02,8.023887969040225179e-03,2.203179446551043960e-02
-9.191318994683129670e-03,1.064799082783302563e-02,4.848113225409063191e-03
8.221231262256217462e-03,-6.826198122032269174e-03,-1.894382308072739898e-02
2.657370056656838987e-03,-2.876690078834208582e-03,-5.751863488258020241e-03
-1.201930991388873264e-03,7.491180315793159045e-03,2.874714305881963857e-03
-4.229214848563086354e-03,7.321568179633918504e-03,-6.910497378261567722e-03
-1.262478109596590738e-03,-9.284942963084968567e-03,-3.338176895243890485e-05
6.951615065005429389e-03,4.115948512065752130e-03,-1.176039206887671829e-02
-5.463598348997262578e-03,-1.161267032539492830e-02,-1.696098640509634964e-02
1.147658502334148595e-02,-7.025303121956603773e-03,1.234892495175008396e-02
-1.853030858476160470e-03,2.020553838823107087e-02,9.940177204412007847e-03
2.262874471621985611e-03,-1.157025540254883085e-02,-2.105428697957461692e-03
-3.367483779254285773e-03,1.645514712924456280e-02,8.386424826168211930e-03
-1.059132515962122635e-02,7.836501692056054014e-03,3.169524649644202209e-04
-5.761485506057656067e-03,3.299718229721949891e-03,-9.850918029786265209e-04
1.126163992490277800e-02,3.078653550226233813e-04,3.956596965874217137e-03
-1.802103415659067924e-03,-2.285327879351507600e-03,5.096932790860607236e-03
1.897134420528759011e-02,2.588330494614675403e-03,4.176542137612129259e-03
1.314987303815669988e-03,4.422415808289268703e-03,-7.750592234587159318e-03
-1.476837408140344379e-02,3.754730121512027397e-03,-5.897394996881703301e-03
1.246491997236961156e-02,3.891683890375618234e-03,-1.030811095519861692e-02
2.488204323024334648e-03,7.710555976706103161e-03,-1.400580298060825901e-02
-1.104237683264974561e-02,-1.076940387174816355e-02,-2.295894443233210264e-03
1.824593553853077338e-02,-2.023265115048938911e-03,5.835429706428281807e-03
3.902155496547966298e-04,5.697547212484141248e-03,-6.184156196878973742e-03
-5.184369247631399197e-03,-7.307877268131510000e-03,-6.112785447723804132e-03
-5.440304124852838111e-03,7.712455794887408504e-03,2.152434498633327281e-03
1.192668103333233490e-02,1.105479556611102532e-02,1.847586178903653370e-02
7.672039474455560198e-03,1.011368510013314036e-02,1.108945925937518395e-02
-7.315442095193890222e-03,9.330997501767674882e-03,1.326124859520390765e-03
3.464555064535124445e-03,-4.707877701597338455e-03,-7.221978073270979986e-03
-1.058948091676949546e-02,-4.706960971322836557e-04,1.583786982897602289e-03
-1.796790924769212094e-03,-4.230096149461263708e-03,-1.396251098399522300e-03
1.203531923487012774e-02,1.640009953249333199e-03,-9.415185094752673983e-03
1.626789741936947309e-02,-7.296930432040315932e-03,-1.024248781869860001e-02
5.627050918057458807e-03,3.097508547963739173e-03,1.715306728517810957e-03
1.884257468346509654e-03,6.696923014318000369e-03,-5.767505045306557578e-04
-7.350558159242514232e-03,8.902037474512793438e-03,1.640165607895537406e-02
