accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.134103295945750132e-03,1.607290274085841847e-03,-9.793270057136213680e+00
4.648330532688016090e-03,-2.753673579282719767e-04,-9.794886675102802087e+00
-6.641895782472217319e-03,4.560119863608552248e-04,-9.791174849698837335e+00
8.333990330196043572e-03,3.321473357864743615e-03,-9.796293870492803535e+00
5.766907815314673350e-03,3.354635971975365553e-03,-9.790554419366218397e+00
-8.007042980443603714e-03,1.588505219101052444e-03,-9.787311632987165666e+00
2.195146259847525257e-03,1.437537085639711918e-03,-9.793071047915081095e+00
-4.667867384000426098e-03,8.266318319641676772e-05,-9.797194357550596422e+00
-4.731774170896794335e-03,1.668468029723871359e-03,-9.791957872344898561e+00
-5.902990901414542288e-03,4.009591464912254377e-03,-9.785279304862072536e+00
-2.199591632787647674e-03,8.129635592404288458e-03,-9.786616787542566698e+00
-1.178640223564244921e-03,-1.165112940605551005e-02,-9.798701564198829317e+00
1.130235085203352627e-02,-3.776287459714716514e-03,-9.794912856768165810e+00
-1.751199920228714785e-03,-3.684443251074261128e-03,-9.792418494306827981e+00
-1.342906376747043766e-03,-2.084684043155871080e-03,-9.802881586468281228e+00
8.533828200934113345e-03,-4.741136125417002700e-04,-9.800919043351868254e+00
-1.306279456405554226e-03,-6.195819984503354687e-03,-9.787926436543571640e+00
2.300293713801872394e-04,4.158366976603289702e-03,-9.785094725864826870e+00
6.953565897611838737e-05,-3.167246931515772801e-03,-9.795750311850900616e+00
-3.125941496116463152e-03,-4.839705357866744620e-03,-9.787608160003898661e+00
4.055897160941944815e-03,3.074833149026161977e-03,-9.791341841639322752e+00
9.036805629442015838e-04,-6.832039698619330609e-03,-9.792171151232363258e+00
2.701991646138575745e-03,4.402553083726044349e-03,-9.792794472098780290e+00
3.602796862975809859e-03,5.778493985771051590e-03,-9.799361132098306726e+00
4.773001284017043197e-03,-1.599747921972532278e-03,-9.786549563669673546e+00
