gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.591290900664815211e-02,3.238999918743210027e-02,8.725457770097452270e-01
2.287710396616110184e-02,7.017738074059098885e-02,1.652364428151010367e+00
3.183906489434354392e-02,-8.940078392034164767e-02,2.445700160472120910e+00
4.173028459932086320e-02,-7.579362592463341486e-03,3.083410419774930578e+00
-2.196302176977805998e-02,-1.083582983353447923e-02,3.630375931872292128e+00
3.402382205197869436e-02,-9.416913107546552239e-03,4.180169452945234454e+00
4.810003916176412708e-02,-3.124120197243107286e-02,4.734139575581945536e+00
3.556228114699145487e-02,6.983515867397581400e-02,5.043062406412426313e+00
4.553771825016783570e-02,-2.091795588357524271e-02,5.533066730334661898e+00
3.162318443857255190e-02,8.227197682788831880e-04,5.822491703970455568e+00
2.697337839150079283e-02,2.935038697962746509e-02,6.188373044774325038e+00
6.888517038211236510e-02,1.411296863345525184e-02,6.536841129684494156e+00
3.681939314330281987e-02,-7.880594291978060273e-02,6.680467563214085303e+00
2.769511826352228506e-02,-5.602411496134790392e-02,6.979740747893296238e+00
4.896997607464004948e-02,-5.187115070606845846e-02,7.152665615161756030e+00
5.362019141863284821e-02,4.496271645558410496e-02,7.313655563740944388e+00
6.009367583660061435e-02,2.285837756086502026e-02,7.481723808961294964e+00
1.057624384503830098e-03,5.697346237402096253e-02,7.642490150290240258e+00
2.466239722631089273e-02,-7.871717725597478232e-03,7.747058974038080414e+00
-3.900461836982309360e-02,5.538084096007452745e-02,7.943210397731421679e+00
-6.796484592432458331e-03,2.816225958775402799e-02,7.986627636351896875e+00
5.133827519491155483e-02,-5.886794889582352107e-03,8.088382278646571777e+00
-4.139974564010539398e-02,-5.962408378452541645e-03,8.252648005380521568e+00
-6.147544322738528189e-02,-2.618828755437681635e-02,8.325485122751761224e+00
-3.706569598430788787e-02,6.611936622927894192e-02,8.362496805356322227e+00
4.788493448317094475e-02,2.457561897952354954e-02,8.420611663205921360e+00
-8.874100137077081674e-02,5.893005117711490326e-02,8.453706022186395330e+00
-5.690206592826518861e-02,3.769321073980127536e-03,8.452270902647125439e+00
-1.799533031009287534e-02,-2.960113973503096171e-02,8.542176627010762857e+00
1.590581812464251718e-02,7.182091893444804420e-02,8.653224139227269518e+00
-7.273370847705858122e-02,-3.965059443824260621e-02,8.649626054388196650e+00
4.825082600496625324e-02,-4.529258044361930344e-03,8.719682583293968392e+00
9.731129816979308678e-02,-7.372092851169154484e-03,8.713823129638157639e+00
6.414054182036210694e-02,-6.186618807125614239e-03,8.765041479275136993e+00
2.710882640080885045e-02,2.909841641604017995e-02,8.790256179983739315e+00
3.265560933784639880e-02,3.012771287769570178e-02,8.856833881180278922e+00
-1.512840228410028062e-02,-5.467922551920803391e-03,8.803437871513564161e+00
-3.217988494470390426e-02,-3.687745928929588024e-02,8.831171760311512742e+00
-1.296069749674301497e-02,-8.461984322938334580e-03,8.770273952988944188e+00
-3.827425723235827054e-02,1.892997767712948504e-02,8.854220009206899888e+00
7.141515874078502302e-02,-7.525705432362170266e-02,8.944813898392458995e+00
-2.747163949635940058e-02,-6.663586044144528819e-02,8.914164105299606788e+00
-1.125768870564307529e-02,4.267998258703183112e-02,8.909207762295261901e+00
-8.434185068040016275e-02,-5.220934670215612861e-02,8.845077893379691858e+00
2.092513528901903536e-02,2.394579155959701208e-02,8.857921998819303866e+00
1.143612815675086603e-02,2.972758658487783742e-02,8.927506126381171470e+00
-7.412752051887860905e-02,-4.792944828694995808e-03,8.926576549103167224e+00
3.492242914101504475e-02,-1.447073014321454548e-02,8.926357165393225657e+00
-6.018806558829661868e-02,1.080551766719579504e-01,8.915071253712074650e+00
1.316551997352352794e-02,1.965093114190653249e-03,8.979861045109664985e+00
-7.637817085079137702e-02,-7.735550860496201442e-02,8.943315706399289411e+00
-6.608723282361127042e-03,-3.979012760810672622e-02,8.977542262794736772e+00
-6.431397436470842263e-03,1.223962210278889233e-02,9.081221364183447164e+00
1.524749303843003258e-02,-4.973834613643911273e-02,8.942131865215079856e+00
-9.916968275661063384e-03,2.771158904813988272e-02,8.997323703710796039e+00
-2.104862566857688272e-02,6.181029623630156233e-02,8.965368640422692437e+00
3.931516929181294584e-02,6.845055105773788229e-02,8.982885306609146525e+00
1.655974104788292614e-02,1.150651146624501707e-02,9.018088100199619817e+00
1.014418999163954616e-01,-2.024049398982924811e-02,9.060450612564059369e+00
-3.845052433792388313e-02,-1.197787236911353886e-03,8.917348015803586492e+00
4.967479150771943013e-03,9.566686467552584783e-03,8.935956227435754684e+00
-5.457910644762601488e-02,-1.122109478751582602e-02,8.925649459148033316e+00
-8.541934705329044461e-03,7.147812491908442367e-02,8.958729738504814577e+00
7.057175490991460243e-02,-3.501987252444899862e-02,9.003168032813459121e+00
5.297229979875550145e-03,-6.283541174594335643e-02,8.982359166192917854e+00
3.007754690978864387e-02,3.427434974985039962e-02,9.022418092101037956e+00
-7.578509309146072570e-02,1.541494492242448974e-04,8.973188699507570476e+00
6.067988499861029159e-03,-4.176548706001670733e-03,9.065850828368441583e+00
-3.712483818745655750e-02,-2.924592980646047516e-02,9.006141302950799954e+00
1.933326322826539254e-02,-1.813460109183357566e-02,8.989666359263621231e+00
1.987142009175629428e-02,-1.282291291755502383e-02,9.001949273584607170e+00
3.734614086132905658e-02,1.177786774127763253e-01,8.922446075240310748e+00
2.347730505585989697e-02,1.909114551318226091e-02,8.929408954282203936e+00
-9.157145008087631474e-03,-2.718022903190470477e-02,9.015181221162050562e+00
-4.289235812292499506e-03,-1.207266903921306797e-02,8.993494772641412283e+00
-5.626455347238015076e-03,3.357961471519940039e-02,9.036757431070862268e+00
-1.589764430582322335e-02,-8.093905190903380453e-02,9.002858631507308473e+00
1.499411063936719087e-02,5.949765040151403644e-02,9.014962205199491763e+00
2.234265918078309071e-02,-5.712390433895304237e-02,8.924511929774288532e+00
-5.891619967204664993e-02,4.288411445523742510e-02,9.056914408991723064e+00
1.931412914828311775e-02,-3.194490346114205875e-02,8.991497418492526705e+00
9.463481474494132503e-03,3.894307450163676798e-02,8.978832229716246616e+00
3.511463654077011387e-02,-5.144952485905236045e-02,8.915013934239178539e+00
2.035607517884049922e-02,-2.725341964284674900e-02,8.960790186835353666e+00
-3.243160717025050238e-02,-5.809859403803244865e-02,8.947554135018085830e+00
-1.994163477456794772e-02,1.450117748304045710e-02,9.004632765206567413e+00
7.098372271984471765e-03,2.143475236828336697e-02,8.954372945951554641e+00
-8.380795040133753870e-02,-3.342604471896994806e-02,9.006683439918152345e+00
-5.679130504989064743e-02,-1.059813910580324203e-01,8.929910689063351725e+00
2.794785427804531101e-03,8.498087291773040062e-04,8.953756508876390185e+00
-1.569867611410169159e-02,-5.982170269756705711e-02,9.123526560824904763e+00
3.084953479629728990e-02,1.106761314220647101e-02,9.038473558181655321e+00
6.304282087408764890e-02,3.441346282382908711e-02,8.984606960411214871e+00
3.835131194755898865e-02,4.007324966831451313e-03,9.017948239922271014e+00
-7.319133435361627193e-03,-1.614154227591267643e-02,9.005438187456341836e+00
1.952310568286737963e-02,3.723976726072630167e-02,9.045913380150393479e+00
9.098397079367447765e-03,3.596650430500101386e-02,9.001436643737839916e+00
6.466977668614232178e-02,-4.450667225499996271e-02,9.049616820945139750e+00
-4.196123032328313851e-02,-8.495209475753107142e-02,8.987912822035102778e+00
-5.617915848239596333e-02,4.044885131793288235e-02,9.076129244728740275e+00
4.775300858391032244e-02,5.426993475189594018e-03,8.948004313296515022e+00
-8.652136891672278923e-03,-6.538441693315975856e-02,8.964135197478215744e+00
2.913847956341312356e-02,-2.491042206562772265e-03,8.991013669395957919e+00
5.451929122217820389e-03,2.483365150260703064e-02,8.956406715232223092e+00
3.946863625431866994e-03,4.839683300098620439e-03,8.980518573291325524e+00
-1.757849415925197842e-03,6.306092659736964312e-02,9.005100670444093680e+00
7.391644700377444921e-02,-7.062459631892044343e-02,8.962181396340829664e+00
-2.971409556876241850e-02,2.897910119760872122e-02,9.041721369585479451e+00
1.070725585092061408e-02,-1.829695227945869057e-02,9.007895027878777938e+00
5.333941032086142453e-02,3.763082573049160440e-02,8.994190458730901838e+00
5.401805100081477629e-02,-7.683192328660123568e-03,9.054020270556634387e+00
3.289175208708541159e-02,5.826648584943197595e-02,9.011806221796200944e+00
